strategy,period_start,period_end,port_ret
h2_nowcast_monthly,2019-06-01,2019-07-01,-0.028774
h2_nowcast_monthly,2019-07-01,2019-08-01,0.008425
h2_nowcast_monthly,2019-08-01,2019-09-01,-0.05017
h2_nowcast_monthly,2019-09-01,2019-10-01,-0.014617
h2_nowcast_monthly,2019-10-01,2019-11-01,-0.002
h2_nowcast_monthly,2019-11-01,2019-12-01,0.015501
h2_nowcast_monthly,2019-12-01,2020-01-01,-0.00091
h2_nowcast_monthly,2020-01-01,2020-02-01,0.046949
h2_nowcast_monthly,2020-02-01,2020-03-01,0.001719
h2_nowcast_monthly,2020-03-01,2020-04-01,-0.002
h2_nowcast_monthly,2020-04-01,2020-05-01,0.066167
h2_nowcast_monthly,2020-05-01,2020-06-01,0.005385
h2_nowcast_monthly,2020-06-01,2020-07-01,0.061065
h2_nowcast_monthly,2020-07-01,2020-08-01,-0.0091
h2_nowcast_monthly,2020-08-01,2020-09-01,-0.022382
h2_nowcast_monthly,2020-09-01,2020-10-01,-0.107048
h2_nowcast_monthly,2020-10-01,2020-11-01,-0.239825
h2_nowcast_monthly,2020-11-01,2020-12-01,-0.023195
h2_nowcast_monthly,2020-12-01,2021-01-01,-0.017074
h2_nowcast_monthly,2021-01-01,2021-02-01,-0.002
h2_nowcast_monthly,2021-02-01,2021-03-01,0.0
h2_nowcast_monthly,2021-03-01,2021-04-01,0.0
h2_nowcast_monthly,2021-04-01,2021-05-01,0.0
h2_nowcast_monthly,2021-05-01,2021-06-01,0.0
h2_nowcast_monthly,2021-06-01,2021-07-01,-0.058001
h2_nowcast_monthly,2021-07-01,2021-08-01,-0.013148
h2_nowcast_monthly,2021-08-01,2021-09-01,-0.040146
h2_nowcast_monthly,2021-09-01,2021-10-01,-0.061304
h2_nowcast_monthly,2021-10-01,2021-11-01,0.016008
h2_nowcast_monthly,2021-11-01,2021-12-01,-0.010505
h2_nowcast_monthly,2021-12-01,2022-01-01,-0.005382
h2_nowcast_monthly,2022-01-01,2022-02-01,0.02808
h2_nowcast_monthly,2022-02-01,2022-03-01,0.031104
h2_nowcast_monthly,2022-03-01,2022-04-01,0.013973
h2_nowcast_monthly,2022-04-01,2022-05-01,-0.013507
h2_nowcast_monthly,2022-05-01,2022-06-01,-0.043443
h2_nowcast_monthly,2022-06-01,2022-07-01,-0.161421
h2_nowcast_monthly,2022-07-01,2022-08-01,0.109112
h2_nowcast_monthly,2022-08-01,2022-09-01,-0.069189
h2_nowcast_monthly,2022-09-01,2022-10-01,0.01329
h2_nowcast_monthly,2022-10-01,2022-11-01,0.05442
h2_nowcast_monthly,2022-11-01,2022-12-01,-0.016913
h2_nowcast_monthly,2022-12-01,2023-01-01,0.037418
h2_nowcast_monthly,2023-01-01,2023-02-01,-0.019275
h2_nowcast_monthly,2023-02-01,2023-03-01,0.004578
h2_nowcast_monthly,2023-03-01,2023-04-01,0.029876
h2_nowcast_monthly,2023-04-01,2023-05-01,-0.002
h2_nowcast_monthly,2023-05-01,2023-06-01,-0.020081
h2_nowcast_monthly,2023-06-01,2023-07-01,-0.042406
h2_nowcast_monthly,2023-07-01,2023-08-01,-0.000811
h2_nowcast_monthly,2023-08-01,2023-09-01,0.009059
h2_nowcast_monthly,2023-09-01,2023-10-01,-0.012518
h2_nowcast_monthly,2023-10-01,2023-11-01,0.015403
h2_nowcast_monthly,2023-11-01,2023-12-01,-0.02242
h2_nowcast_monthly,2023-12-01,2023-12-31,0.006408
h2_nowcast_trends_monthly,2016-07-01,2016-08-01,0.01489
h2_nowcast_trends_monthly,2016-08-01,2016-09-01,-0.002
h2_nowcast_trends_monthly,2016-09-01,2016-10-01,0.0
h2_nowcast_trends_monthly,2016-10-01,2016-11-01,0.0
h2_nowcast_trends_monthly,2016-11-01,2016-12-01,0.0
h2_nowcast_trends_monthly,2016-12-01,2017-01-01,0.0
h2_nowcast_trends_monthly,2017-01-01,2017-02-01,-0.019797
h2_nowcast_trends_monthly,2017-02-01,2017-03-01,0.031707
h2_nowcast_trends_monthly,2017-03-01,2017-04-01,0.00355
h2_nowcast_trends_monthly,2017-04-01,2017-05-01,-0.002937
h2_nowcast_trends_monthly,2017-05-01,2017-06-01,-0.036264
h2_nowcast_trends_monthly,2017-06-01,2017-07-01,-0.002
h2_nowcast_trends_monthly,2017-07-01,2017-08-01,0.0
h2_nowcast_trends_monthly,2017-08-01,2017-09-01,0.0
h2_nowcast_trends_monthly,2017-09-01,2017-10-01,0.0
h2_nowcast_trends_monthly,2017-10-01,2017-11-01,0.048807
h2_nowcast_trends_monthly,2017-11-01,2017-12-01,-0.002
h2_nowcast_trends_monthly,2017-12-01,2018-01-01,0.0
h2_nowcast_trends_monthly,2018-01-01,2018-02-01,0.0
h2_nowcast_trends_monthly,2018-02-01,2018-03-01,0.0
h2_nowcast_trends_monthly,2018-03-01,2018-04-01,0.0
h2_nowcast_trends_monthly,2018-04-01,2018-05-01,0.000934
h2_nowcast_trends_monthly,2018-05-01,2018-06-01,-0.018533
h2_nowcast_trends_monthly,2018-06-01,2018-07-01,0.017659
h2_nowcast_trends_monthly,2018-07-01,2018-08-01,0.013657
h2_nowcast_trends_monthly,2018-08-01,2018-09-01,-0.006413
h2_nowcast_trends_monthly,2018-09-01,2018-10-01,-0.071136
h2_nowcast_trends_monthly,2018-10-01,2018-11-01,-0.024515
h2_nowcast_trends_monthly,2018-11-01,2018-12-01,0.018726
h2_nowcast_trends_monthly,2018-12-01,2019-01-01,-0.008732
h2_nowcast_trends_monthly,2019-01-01,2019-02-01,-0.002
h2_nowcast_trends_monthly,2019-02-01,2019-03-01,0.001333
h2_nowcast_trends_monthly,2019-03-01,2019-04-01,0.030658
h2_nowcast_trends_monthly,2019-04-01,2019-05-01,-0.003894
h2_nowcast_trends_monthly,2019-05-01,2019-06-01,0.014026
h2_nowcast_trends_monthly,2019-06-01,2019-07-01,0.002137
h2_nowcast_trends_monthly,2019-07-01,2019-08-01,-0.046377
h2_nowcast_trends_monthly,2019-08-01,2019-09-01,-0.006489
h2_nowcast_trends_monthly,2019-09-01,2019-10-01,-0.002
h2_nowcast_trends_monthly,2019-10-01,2019-11-01,-0.051087
h2_nowcast_trends_monthly,2019-11-01,2019-12-01,0.05186
h2_nowcast_trends_monthly,2019-12-01,2020-01-01,-0.001215
h2_nowcast_trends_monthly,2020-01-01,2020-02-01,0.027659
h2_nowcast_trends_monthly,2020-02-01,2020-03-01,-0.004785
h2_nowcast_trends_monthly,2020-03-01,2020-04-01,0.004349
h2_nowcast_trends_monthly,2020-04-01,2020-05-01,0.014404
h2_nowcast_trends_monthly,2020-05-01,2020-06-01,-0.009876
h2_nowcast_trends_monthly,2020-06-01,2020-07-01,-0.023497
h2_nowcast_trends_monthly,2020-07-01,2020-08-01,0.019755
h2_nowcast_trends_monthly,2020-08-01,2020-09-01,0.018929
h2_nowcast_trends_monthly,2020-09-01,2020-10-01,0.205193
h2_nowcast_trends_monthly,2020-10-01,2020-11-01,-0.002
h2_nowcast_trends_monthly,2020-11-01,2020-12-01,0.0
h2_nowcast_trends_monthly,2020-12-01,2021-01-01,0.0
h2_nowcast_trends_monthly,2021-01-01,2021-02-01,-0.201112
h2_nowcast_trends_monthly,2021-02-01,2021-03-01,-0.002
h2_nowcast_trends_monthly,2021-03-01,2021-04-01,0.03525
h2_nowcast_trends_monthly,2021-04-01,2021-05-01,0.017159
h2_nowcast_trends_monthly,2021-05-01,2021-06-01,-0.007914
h2_nowcast_trends_monthly,2021-06-01,2021-07-01,-0.034751
h2_nowcast_trends_monthly,2021-07-01,2021-08-01,-0.027095
h2_nowcast_trends_monthly,2021-08-01,2021-09-01,0.038676
h2_nowcast_trends_monthly,2021-09-01,2021-10-01,0.020037
h2_nowcast_trends_monthly,2021-10-01,2021-11-01,-0.02048
h2_nowcast_trends_monthly,2021-11-01,2021-12-01,1.9e-05
h2_nowcast_trends_monthly,2021-12-01,2022-01-01,-0.00572
h2_nowcast_trends_monthly,2022-01-01,2022-02-01,-0.002
h2_nowcast_trends_monthly,2022-02-01,2022-03-01,0.0
h2_nowcast_trends_monthly,2022-03-01,2022-04-01,0.0
h2_nowcast_trends_monthly,2022-04-01,2022-05-01,0.025369
h2_nowcast_trends_monthly,2022-05-01,2022-06-01,0.025474
h2_nowcast_trends_monthly,2022-06-01,2022-07-01,0.036988
h2_nowcast_trends_monthly,2022-07-01,2022-08-01,-0.048373
h2_nowcast_trends_monthly,2022-08-01,2022-09-01,-0.014699
h2_nowcast_trends_monthly,2022-09-01,2022-10-01,-0.199495
h2_nowcast_trends_monthly,2022-10-01,2022-11-01,-0.13805
h2_nowcast_trends_monthly,2022-11-01,2022-12-01,0.086485
h2_nowcast_trends_monthly,2022-12-01,2023-01-01,-0.000534
h2_nowcast_trends_monthly,2023-01-01,2023-02-01,0.043469
h2_nowcast_trends_monthly,2023-02-01,2023-03-01,0.014683
h2_nowcast_trends_monthly,2023-03-01,2023-04-01,-0.002
h2_nowcast_trends_monthly,2023-04-01,2023-05-01,-0.021763
h2_nowcast_trends_monthly,2023-05-01,2023-06-01,-0.066354
h2_nowcast_trends_monthly,2023-06-01,2023-07-01,-0.092984
h2_nowcast_trends_monthly,2023-07-01,2023-08-01,-0.008337
h2_nowcast_trends_monthly,2023-08-01,2023-09-01,-0.024436
h2_nowcast_trends_monthly,2023-09-01,2023-10-01,-0.106247
h2_nowcast_trends_monthly,2023-10-01,2023-11-01,-0.002
h2_nowcast_trends_monthly,2023-11-01,2023-12-01,0.0
h2_nowcast_trends_monthly,2023-12-01,2023-12-31,0.0
